name,woeid
Pacific/Kiritimati,28350951
Pacific/Marquesas,28350953
Pacific/Midway,28350954
Pacific/Nauru,28350955
Pacific/Niue,28350956
Pacific/Norfolk,28350957
Pacific/Noumea,28350958
Pacific/Pago_Pago,28350959
Pacific/Palau,28350960
Pacific/Pitcairn,28350961
Pacific/Ponape,28350962
Pacific/Port_Moresby,28350963
Pacific/Rarotonga,28350964
Pacific/Saipan,28350965
Pacific/Tahiti,28350966
Pacific/Tarawa,28350967
Pacific/Tongatapu,28350968
Pacific/Truk,28350969
Pacific/Wake,28350970
Pacific/Wallis,28350971
Australia/Broken_Hill,56043537
Australia/Eucla,56043538
Australia/Currie,56043539
America/Argentina/Catamarca,56043540
America/Argentina/Cordoba,56043541
America/Argentina/Jujuy,56043542
America/Argentina/La_Rioja,56043543
America/Argentina/Mendoza,56043544
America/Argentina/Rio_Gallegos,56043545
America/Argentina/Salta,56043546
America/Argentina/San_Juan,56043547
America/Argentina/San_Luis,56043548
America/Argentina/Tucuman,56043549
America/Argentina/Ushuaia,56043550
America/Argentina/Buenos_Aires,56043551
America/Belem,56043569
America/Fortaleza,56043570
America/Araguaina,56043571
America/Maceio,56043572
America/Bahia,56043573
America/Campo_Grande,56043574
America/Cuiaba,56043575
America/Santarem,56043576
America/Porto_Velho,56043577
America/Rio_Branco,56043578
America/Boa_Vista,56043579
America/Eirunepe,56043580
America/Manaus,56043581
America/Recife,56043582
Pacific/Kosrae,56043583
Asia/Pontianak,56043584
Asia/Aqtobe,56043585
Asia/Qyzylorda,56043586
Asia/Aqtau,56043587
Asia/Oral,56043588
Asia/Almaty,56043589
Pacific/Majuro,56043590
Pacific/Kwajalein,56043591
Asia/Chongqing,56043593
Asia/Harbin,56043594
Asia/Kashgar,56043595
Asia/Urumqi,56043596
Asia/Shanghai,56043597
America/Chihuahua,56043598
America/Cancun,56043599
America/Merida,56043600
America/Monterrey,56043601
America/Mexico_City,56043602
Asia/Kuala_Lumpur,56043603
Asia/Kuching,56043604
Europe/Lisbon,56043605
Atlantic/Madeira,56043606
Asia/Novosibirsk,56043607
Asia/Omsk,56043608
Asia/Vladivostok,56043609
Asia/Sakhalin,56043610
Asia/Anadyr,56043611
Asia/Kamchatka,56043612
Europe/Volgograd,56043613
Europe/Moscow,56043614
Europe/Simferopol,56043615
Europe/Zaporozhye,56043616
Europe/Uzhgorod,56043617
Europe/Kiev,56043618
Asia/Tashkent,56043642
Asia/Samarkand,56043643
Europe/Madrid,56043644
Africa/Ceuta,56043645
America/Kentucky/Monticello,56043646
America/Kentucky/Louisville,56043647
America/New_York,56043648
America/Indiana/Vincennes,56043649
America/Indiana/Knox,56043650
America/Indiana/Winamac,56043651
America/Indiana/Marengo,56043652
America/Indiana/Vevay,56043653
America/Indiana/Tell_City,56043654
America/Indiana/Petersburg,56043655
America/Indiana/Indianapolis,56043656
America/Menominee,56043657
America/Detroit,56043658
America/North_Dakota/Center,56043659
America/North_Dakota/New_Salem,56043660
America/Chicago,56043661
America/Boise,56043662
America/Los_Angeles,56043663
America/Shiprock,56043664
America/Denver,56043665
America/Phoenix,56043666
America/Juneau,56043667
America/Yakutat,56043668
America/Anchorage,56043669
America/Nome,56043670
America/Goose_Bay,56043673
America/Winnipeg,56043674
America/Blanc-Sablon,56043675
America/Cambridge_Bay,56043676
America/Dawson,56043677
America/Whitehorse,56043678
America/Montreal,56043679
America/Atikokan,56043680
America/Resolute,56043681
America/St_Johns,56043682
America/Glace_Bay,56043683
America/Moncton,56043684
America/Halifax,56043685
America/Swift_Current,56043686
America/Regina,56043687
America/Rainy_River,56043688
America/Edmonton,56043689
America/Vancouver,56043690
America/Yellowknife,56043691
America/Inuvik,56043692
America/Iqaluit,56043693
America/Pangnirtung,56043694
America/Nipigon,56043695
America/Thunder_Bay,56043696
America/Toronto,56043697
America/Rankin_Inlet,56043698
